,name,tags,ingredients,cuisine,seasons,type,allergy
0,keep it going  german friendship cake,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, occasion, breads, eggs-dairy, fruit, german, 1-day-or-more, oven, european, refrigerator, potluck, vegetarian, nuts, eggs, dietary, gifts, comfort-food, yeast, quick-breads, tropical-fruit, pineapple, taste-mood, to-go, equipment","flour,water,dryyeast,milk,sugar,eggs,vegetableoil,bakingsoda,bakingpowder,salt,cinnamon,vanilla,crushedpineapple,raisins,nuts,butter,brownsugar",european,SUMMER,veg,N
1,killer  lasagna,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, occasion, casseroles, main-dish, pasta, oven, european, potluck, dinner-party, heirloom-historical, holiday-event, italian, lasagna, dietary, low-carb, low-in-something, pasta-rice-and-grains, to-go, equipment, 4-hours-or-less","italiansausage,groundbeef,garlic,driedbasil,salt,wholetomato,tomatopaste,ricottacheese,cottagecheese,parmesancheese,parsleyflakes,eggs,groundblackpepper,lasagnanoodle,mozzarellacheese",european,SUMMER,non-veg,M
2,marijuana  vinegar,"weeknight, time-to-make, course, cuisine, preparation, occasion, for-large-groups, 5-ingredients-or-less, condiments-etc, 1-day-or-more, easy, european, no-cook, vegetarian, dietary, gifts, spicy, gluten-free, oamc-freezer-make-ahead, inexpensive, cooking-mixes, free-of-something, taste-mood, number-of-servings, technique","freshherbs,cidervinegar,freshherb",european,SPRING,veg,C
3,mr  grant you took half veal prince orloff,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, occasion, casseroles, main-dish, beef, oven, european, roast, dinner-party, romantic, veal, meat, taste-mood, equipment, 4-hours-or-less","vealroast,butter,oil,carrots,onions,parsleysprigs,bayleaf,thyme,salt,pepper,bacon",european,SUMMER,non-veg,N
4,my muffuletta sandwich,"30-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, lunch, pork, easy, european, finger-food, italian, sandwiches, meat, novelty, presentation, 3-steps-or-less","ciabatta,provolonecheese,genoasalami,ham,tomatoes,sweetonion,greenolives,kalamataolive,freshbasil,capers,garlic,brine,oreganoleaves,oliveoil,redwinevinegar,freshparsley,carrot",european,AUTUMN,non-veg,N
5,real  italian bolognese sauce,"time-to-make, course, cuisine, preparation, sauces, condiments-etc, european, italian, dietary, 4-hours-or-less","bacon,onion,celery,carrot,garlic,butter,oliveoil,leangroundbeef,groundpork,beefconsomme,drywhitewine,crushedtomatoes,salt,blackpepper,rubbedsage,oregano,redpepperflakes,nutmeg,milk,pennepasta",european,WINTER,non-veg,N|M
6,say what   banana sandwich,"15-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, north-american, 5-ingredients-or-less, lunch, fruit, american, southern-united-states, easy, european, beginner-cook, finger-food, kid-friendly, vegetarian, dietary, sandwiches, inexpensive, toddler-friendly, tropical-fruit, bananas, brunch, taste-mood, sweet, to-go, presentation","whitebread,mayonnaise,bananas",european,SPRING,veg,M
7,voodoo   calamari ink  pasta,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, main-dish, pasta, seafood, european, italian, dietary, low-sodium, low-in-something, pasta-rice-and-grains, no-shell-fish, squid, 4-hours-or-less","squid,spaghetti,drywhitewine,tomatosauce,parsley,garlic,extravirginoliveoil,hotwater,saltandpepper",european,WINTER,non-veg,N|C
8,zupa ze swiezych grzybow  polish mushroom soup,"60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, low-protein, soups-stews, vegetables, european, polish, dietary, low-calorie, low-carb, mushrooms, low-in-something","wildmushrooms,onions,butter,lemon,juiceof,water,beefbroth,sourcream,flour,saltandpepper,freshdill",european,SPRING,non-veg,L
9,10 can spaghetti sauce   oamc,"course, cuisine, preparation, for-large-groups, sauces, main-dish, condiments-etc, european, italian, dietary, low-cholesterol, low-calorie, low-carb, savory-sauces, low-in-something, number-of-servings","tomatosauce,italiansausage,oliveoil,whiteonion,bottledgarlic,sugar,paprika,driedparsley,driedoregano,driedbasil,garlicpowder,bayleaves,salt,pepper",european,WINTER,non-veg,N
10,emotional balance  spice mixture,"15-minutes-or-less, time-to-make, course, cuisine, preparation, condiments-etc, asian, indian, easy, no-cook, vegetarian, herb-and-spice-mixes, food-processor-blender, dietary, cooking-mixes, equipment, small-appliance, number-of-servings, 3-steps-or-less, technique","groundblackpepper,groundginger,groundcoriander,groundcumin,groundturmeric,blackcumin",indian,SUMMER,veg,C
11,munch without guilt  tomatoes,"15-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, low-protein, healthy, 5-ingredients-or-less, appetizers, salads, vegetables, asian, indian, easy, no-cook, beginner-cook, diabetic, dinner-party, holiday-event, kid-friendly, low-fat, picnic, vegetarian, dietary, low-sodium, low-cholesterol, low-saturated-fat, low-calorie, comfort-food, low-carb, healthy-2, low-in-something, taste-mood, to-go, number-of-servings, 3-steps-or-less, technique","tomatoes,crackers,mayonnaise,blackpepper",indian,AUTUMN,veg,M
12,pour over anything  mushroom gravy,"30-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, sauces, main-dish, condiments-etc, vegetables, asian, indian, easy, dinner-party, fall, holiday-event, kid-friendly, vegetarian, winter, dietary, christmas, seasonal, ramadan, savory-sauces, mushrooms, novelty","onion,mushroompieces,sodiumfreevegetablebroth,tomatopuree,cornstarch,whitewine,blackpepper,tabascosauce",indian,AUTUMN,veg,M|C
13,tide me over   indian chaat  simple veggie salad,"15-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, for-1-or-2, low-protein, healthy, lunch, salads, snacks, vegetables, asian, indian, easy, beginner-cook, low-fat, summer, vegetarian, dietary, spicy, low-sodium, low-cholesterol, seasonal, low-saturated-fat, low-calorie, low-carb, inexpensive, healthy-2, low-in-something, tomatoes, taste-mood, savory, number-of-servings, presentation, served-cold","cucumber,potato,choppedtomato,plainyogurt,chatmasala,paprika,salt",indian,WINTER,veg,M
14,creamy  chicken curry,"curries, lactose, time-to-make, course, main-ingredient, cuisine, preparation, occasion, main-dish, poultry, asian, indian, refrigerator, kosher, chicken, stove-top, dietary, spicy, egg-free, free-of-something, meat, taste-mood, equipment","bonelessskinlesschickenbreasts,garliccloves,soyyogurt,turmeric,onions,chickenstock,cardamompods,cinnamonstick,blackpeppercorns,cloves,corianderseed,freshginger,groundcumin,chilipowder,saltfreshlygroundblackpepper,freshcoriander",indian,WINTER,non-veg,C
15,denauseating  with ginger tea,"15-minutes-or-less, time-to-make, course, cuisine, preparation, occasion, 5-ingredients-or-less, beverages, breakfast, asian, indian, easy, dietary, comfort-food, taste-mood, number-of-servings","water,ginger,teabag,honey,milk",indian,SPRING,non-veg,M
16,seva   bean   vegetable stew,"60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, healthy, main-dish, beans, vegetables, asian, indian, low-fat, vegetarian, stove-top, dietary, spicy, low-cholesterol, low-saturated-fat, low-calorie, healthy-2, low-in-something, taste-mood, equipment","ghee,kidneybeans,onion,garlicclove,carrot,potatoes,garammasala,currypowder,tabascosauce,saltandpepper,water",indian,WINTER,veg,M
17,chicken  tikka masala   vegan style,"weeknight, time-to-make, course, main-ingredient, cuisine, preparation, occasion, main-dish, vegetables, asian, indian, oven, dinner-party, vegan, vegetarian, broil, dietary, comfort-food, tomatoes, taste-mood, equipment, 4-hours-or-less","veganchicken,soyyogurt,freshlemonjuice,groundcumin,groundredpepper,freshgroundblackpepper,cinnamon,salt,freshginger,bambooskewers,earthbalancemargarine,garliccloves,groundcoriander,paprika,garammasala,tomatosauce,coconutmilk,frozenpeas,freshcilantro",indian,SPRING,veg,M
18,leftover   turkey biryani with red onion and cilantro,"curries, 60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, healthy, main-dish, poultry, rice, asian, indian, easy, turkey, dietary, spicy, low-cholesterol, low-saturated-fat, comfort-food, healthy-2, low-in-something, meat, pasta-rice-and-grains, long-grain-rice, taste-mood, presentation, served-hot","sunfloweroil,carrots,redonions,basmatirice,hotchickenstock,turkey,currypaste,cilantro",indian,AUTUMN,non-veg,M|C
19,paki  garam masala,"15-minutes-or-less, time-to-make, course, cuisine, preparation, condiments-etc, asian, indian, easy, pakistani, vegetarian, herb-and-spice-mixes, dietary, cooking-mixes, 3-steps-or-less","blackpeppercorns,bayleaf,staranise,blackcumin,cumin,greencardamoms,blackcardamompod,coriander,mace,fennel,groundredchilipepper,groundturmeric,cinnamon,clove",indian,SUMMER,veg,C
20,hibachi  style salad dressing,"15-minutes-or-less, time-to-make, course, cuisine, preparation, salads, asian, japanese, no-cook, salad-dressings, technique","ricevinegar,lemonjuice,soysauce,honey,gingerjuice,sesameoil,mayonnaise",japanese,AUTUMN,non-veg,N
21,philly  roll sushi,"15-minutes-or-less, time-to-make, cuisine, preparation, asian, japanese, dietary, low-sodium, low-in-something","creamcheese,smokedsalmon,englishcucumber,nori,sushirice,toastedsesameseeds",japanese,SPRING,non-veg,N
22,10 min japanese simmered tofu hot pot,"15-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, for-1-or-2, side-dishes, beans, asian, japanese, stove-top, dietary, comfort-food, soy-tofu, taste-mood, equipment, number-of-servings","softsilkentofu,driedfishflakes,soysauce,sugar,sake,water,egg,greenonion",japanese,WINTER,non-veg,C|M
23,35 minute teriyaki meatballs,"60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, main-dish, beef, asian, japanese, dietary, ground-beef, meat","shallots,garlic,ginger,soysauce,sugar,leanbeef,rice,oil,carrots,snowpeas,water,cornflour",japanese,WINTER,non-veg,M
24,abaranger dino curry,"time-to-make, course, main-ingredient, cuisine, preparation, main-dish, beef, pork, vegetables, asian, japanese, meat, carrots, 4-hours-or-less","rice,onions,potatoes,carrots,garlic,roux,water,chicken",japanese,AUTUMN,non-veg,C
25,abura   age  deep fried tofu,"time-to-make, course, main-ingredient, cuisine, preparation, occasion, for-1-or-2, 5-ingredients-or-less, very-low-carbs, main-dish, beans, asian, japanese, easy, vegan, vegetarian, dietary, low-sodium, low-carb, soy-tofu, low-in-something, taste-mood, savory, number-of-servings, 4-hours-or-less","firmtofu,vegetableoil",japanese,AUTUMN,veg,N
26,adzuki aduki red bean cupcakes,"60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, for-large-groups, cupcakes, desserts, beans, asian, japanese, cakes, food-processor-blender, dietary, low-cholesterol, healthy-2, low-in-something, equipment, small-appliance, number-of-servings, from-scratch","adzukibeans,sugar,canolaoil,eggwhites,allpurposeflour,bakingpowder,cocoapowder,salt,milk",japanese,AUTUMN,non-veg,N
27,agedashi dofu,"60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, occasion, for-1-or-2, appetizers, lunch, snacks, vegetables, asian, japanese, easy, dinner-party, deep-fry, dietary, comfort-food, inexpensive, taste-mood, savory, number-of-servings, presentation, served-hot, technique","firmtofu,dashistock,soyasauce,sugar,cornflour,vegetableoil,daikonradish,gingerroot,springonion",japanese,SUMMER,non-veg,N
28,amber s japan style tofu meal,"60-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, healthy, main-dish, beans, vegetables, asian, japanese, easy, diabetic, vegan, vegetarian, grains, dietary, one-dish-meal, low-cholesterol, low-saturated-fat, inexpensive, soy-tofu, healthy-2, low-in-something, pasta-rice-and-grains, green-yellow-beans","firmtofu,tamari,ricevinegar,freshginger,water,tomatojuice,vegetableoil,quinoa,greenbeans,miso,cornstarch,scallion,alfalfasprouts",japanese,AUTUMN,veg,N
29,american sukiyaki,"30-minutes-or-less, time-to-make, course, main-ingredient, cuisine, preparation, main-dish, beef, rice, asian, japanese, dietary, low-cholesterol, low-calorie, healthy-2, low-in-something, meat, pasta-rice-and-grains","roundsteak,oil,celery,greenpepper,onion,mushrooms,condensedbeefbroth,soysauce,water,cornstarch,cookedrice",japanese,SUMMER,non-veg,N|C
